三阿姨	sanayi,say
三千珠履	sanqianzhulu,sqzl
三迁	sanqian,sq
三迁之教	sanqianzhijiao,sqzj
三愆	sanqian,sq
三钱之府	sanqianzhifu,sqzf
三乾	sanqian,sq
三樵	sanqiao,sq
三郄	sanxi,sx
三箧	sanqie,sq
三亲	sanqin,sq
三亲六故	sanqinliugu,sqlg
三亲六眷	sanqinliujuan,sqlj
三亲四眷	sanqinsijuan,sqsj
三秦	sanqin,sq
三勤	sanqin,sq
三寝	sanqin,sq
三青蔓	sanqingman,sqm
三青鸟	sanqingniao,sqn
三青团	sanqingtuan,sqt
三青子	sanqingzi,sqz
三卿	sanqing,sq
三清	sanqing,sq
三清殿	sanqingdian,sqd
三清境	sanqingjing,sqj
三清客	sanqingke,sqk
三清四白	sanqingsibai,sqsb
三请诸葛亮	sanqingzhugeliang,sqzgl
三穷	sanqiong,sq
三睘	sanqiong,sq
三丘	sanqiu,sq
三秋	sanqiu,sq
三求四告	sanqiusigao,sqsg
三曲	sanqu,sq
三驱	sanqu,sq
三衢	sanqu,sq
三去	sanqu,sq
三权	sanquan,sq
三权鼎立	sanquandingli,sqdl
三权分立	sanquanfenli,sqfl
三拳不敌四手	sanquanbudisishou,sqbdss
三拳敌不得四手	sanquandibudesishou,sqdbdss
三拳二脚	sanquanerjiao,sqej
三拳两脚	sanquanliangjiao,sqlj
三铨	sanquan,sq
三阙	sanque,sq
三染	sanran,sr
三壤	sanrang,sr
三让	sanrang,sr
三绕鹊	sanraoque,srq
三遶鹊	sanraoque,srq
三热爱	sanreai,sra
三人成虎	sanrenchenghu,srch
三人成市虎	sanrenchengshihu,srcsh
三人六样话	sanrenliuyanghua,srlyh
三人为众	sanrenweizhong,srwz
三人误大事	sanrenwudashi,srwds
三人行	sanrenxing,srx
三人一龙	sanrenyilong,sryl
三人一条心	sanrenyitiaoxin,srytx
三人月	sanrenyue,sry
三仁	sanren,sr
三壬	sanren,sr
三日	sanri,sr
三日不忍饿	sanriburene,srbre
三日成魄	sanrichengpo,srcp
三日吃饱饭	sanrichibaofan,srcbf
三日打鱼	sanridayu,srdy
三日耳聋	sanrierlong,srel
三日九	sanrijiu,srj
三日聋	sanrilong,srl
三日仆射	sanripuye,srpy
三日曲水	sanriqushui,srqs
三日三夜说不了	sanriyeshuobuliao,srysbl
三日香	sanrixiang,srx
三日新妇	sanrixinfu,srxf
三冗	sanrong,sr
三儒	sanru,sr
三洒	sansa,ss
三三	san,s
三三节	sanjie,sj
三三径	sanjing,sj
三三两两	sanliang,sl
三三四四	sansi,ss
三三五五	sanwu,sw
三三制	sanzhi,sz
三色	sanse,ss
三色堇	sansejin,ssj
三色猫	sansemao,ssm
三色紫罗兰	sanseziluolan,sszll
三杀	sansha,ss
三山	sanshan,ss
三山股	sanshangu,ssg
三山骨	sanshangu,ssg
三山客	sanshanke,ssk
三山区	sanshanqu,ssq
三山五岳	sanshanwuyue,sswy
三善	sanshan,ss
三善道	sanshandao,ssd
三嬗	sanshan,ss
三鳝	sanshan,ss
三殇	sanshang,ss
三商	sanshang,ss
三觞	sanshang,ss
三上	sanshang,ss
三上五落	sanshangwuluo,sswl
三梢末尾	sanshaomowei,ssmw
三少	sanshao,ss
三蛇羹	sanshegeng,ssg
三蛇七鼠	sansheqishu,ssqs
三舍	sanshe,ss
三舍法	sanshefa,ssf
三舍人诗	sansherenshi,ssrs
三舍生	sanshesheng,sss
三社	sanshe,ss
三赦	sanshe,ss
三申	sanshen,ss
三身	sanshen,ss
三身殿	sanshendian,ssd
三神	sanshen,ss
三神山	sanshenshan,sss
三神洲	sanshenzhou,ssz
三生	sansheng,ss
三生杜牧	sanshengdumu,ssdm
三生石	sanshengshi,sss
三生有幸	sanshengyouxing,ssyx
三生愿	sanshengyuan,ssy
三声	sansheng,ss
三牲	sansheng,ss
三牲五鼎	sanshengwuding,sswd
三甥	sansheng,ss
三省	sanxing,sx
三省吾身	sanxingwushen,sxws
三圣	sansheng,ss
三尸	sanshi,ss
三尸暴跳	sanshibaotiao,ssbt
三尸神	sanshishen,sss
三尸五鬼	sanshiwugui,sswg
三失	sanshi,ss
三师	sanshi,ss
三师七僧	sanshiqiseng,ssqs
三师七证	sanshiqizheng,ssqz
三十	sanshi,ss
三十八度线	sanshibaduxian,ssbdx
三十倍地	sanshibeide,ssbd
三十儿	sanshier,sse
三十而立	sanshierli,ssel
三十二名臣	sanshiermingchen,ssemc
三十二天	sanshiertian,sset
三十二位元	sanshierweiyuan,ssewy
三十二相	sanshierxiang,ssex
三十哥	sanshige,ssg
三十六	sanshiliu,ssl
三十六策	sanshiliuce,sslc
三十六洞天	sanshiliudongtian,ssldt
三十六峯	sanshiliufeng,sslf
三十六宫	sanshiliugong,sslg
三十六国	sanshiliuguo,sslg
三十六计	sanshiliuji,sslj
三十六界	sanshiliujie,sslj
三十六郡	sanshiliujun,sslj
三十六鳞	sanshiliulin,ssll
三十六陂	sanshiliubei,sslb
三十六书	sanshiliushu,ssls
三十六体	sanshiliuti,sslt
三十六天	sanshiliutian,sslt
三十六天罡	sanshiliutiangang,ssltg
三十六物	sanshiliuwu,sslw
三十六行	sanshiliuhang,sslh
三十六英雄	sanshiliuyingxiong,sslyx
三十六雨	sanshiliuyu,ssly
三十六玉皇	sanshiliuyuhuang,sslyh
三十六苑	sanshiliuyuan,ssly
三十六着	sanshiliuzhe,sslz
三十六字母	sanshiliuzimu,sslzm
三十年河	sanshinianhe,ssnh
三十年河东	sanshinianhedong,ssnhd
三十年河西	sanshinianhexi,ssnhx
三十年老娘倒绷孩儿	sanshinianlaoniangdaobenghaier,ssnlndbhe
三十三天	sanshitian,sst
三十晚上	sanshiwanshang,ssws
三十有室	sanshiyou,ssy
三十子	sanshizi,ssz
三时	sanshi,ss
三时殿	sanshidian,ssd
三食	sanshi,ss
三史	sanshi,ss
三矢	sanshi,ss
三豕	sanshi,ss
三豕涉河	sanshishehe,sssh
三始	sanshi,ss
三士	sanshi,ss
三世	sanshi,ss
三世佛	sanshifo,ssf
三世同财	sanshitongcai,sstc
三世同爨	sanshitongcuan,sstc
三世一爨	sanshiyicuan,ssyc
三世执戟	sanshizhiji,sszj
三仕	sanshi,ss
三市	sanshi,ss
三式	sanshi,ss
三事	sanshi,ss
三势	sanshi,ss
三室	sanshi,ss
三适	sanshi,ss
三手病	sanshoubing,ssb
三首国	sanshouguo,ssg
三首六臂	sanshouliubi,sslb
三寿	sanshou,ss
三寿客	sanshouke,ssk
三兽渡	sanshoudu,ssd
三兽渡河	sanshouduhe,ssdh
三书六礼	sanshuliuli,ssll
三叔	sanshu,ss
三属	sanshu,ss
三署	sanshu,ss
三蜀	sanshu,ss
三术	sanshu,ss
三庶	sanshu,ss
三数	sanshu,ss
三帅	sanshuai,ss
三霜	sanshuang,ss
三水	sanshui,ss
三水部	sanshuibu,ssb
三水区	sanshuiqu,ssq
三水县	sanshuixian,ssx
三说法	sanshuofa,ssf
三朔	sanshuo,ss
三司	sansi,ss
三思	sansi,ss
三思而后行	sansierhouxing,ssehx
三思而行	sansierxing,ssex
三思台	sansitai,sst
三死	sansi,ss
三巳	sansi,ss
三四	sansi,ss
三四五	sansiwu,ssw
三祀	sansi,ss
三松倒	sansongdao,ssd
三颂	sansong,ss
三苏	sansu,ss
三肃	sansu,ss
三素	sansu,ss
三素望	sansuwang,ssw
三素云	sansuyun,ssy
三宿	sanxiu,sx
三宿恋	sanxiulian,sxl
三酸甘油酯	sansuanganyouzhi,ssgyz
三隧	sansui,ss
三穗	sansui,ss
三穗县	sansuixian,ssx
三损	sansun,ss
三梭布	sansuobu,ssb
三索	sansuo,ss
三索锦蛇	sansuojinshe,ssjs
三台	santai,st
三台八座	santaibazuo,stbz
三台县	santaixian,stx
三太	santai,st
三潭印月	santanyinyue,styy
三袒	santan,st
三叹	santan,st
三碳糖	santantang,stt
三汤两割	santangliangge,stlg
三汤五割	santangwuge,stwg
三唐	santang,st
三堂	santang,st
三体	santi,st
三体问题	santiwen,stw
三屉桌	santizhuo,stz
三天	santian,st
三天打鱼	santiandayu,stdy
三天两宿	santianliangxiu,stlx
三天两头	santianliangtou,stlt
三天没大小	santianmeidaxiao,stmdx
三天使	santianshi,sts
三天竺	santianzhu,stz
三田	santian,st
三条	santiao,st
三条椽下	santiaochuanxia,stcx
三条九陌	santiaojiumo,stjm
三条路	santiaolu,stl
三条烛	santiaozhu,stz
三铁	santie,st
三亭	santing,st
三庭	santing,st
三停	santing,st
三停刀	santingdao,std
三挺	santing,st
三通	santong,st
三同	santong,st
三同一片	santongyipian,styp
三统	santong,st
三统历	santongli,stl
三头	santou,st
三头八臂	santoubabi,stbb
三头不辨两	santoububianliang,stbbl
三头对案	santouduian,stda
三头肌	santouji,stj
三头两面	santouliangmian,stlm
三头两日	santouliangri,stlr
三头两绪	santouliangxu,stlx
三头六臂	santouliubi,stlb
三头六面	santouliumian,stlm
三头六证	santouliuzheng,stlz
三头政治	santouzhengzhi,stzz
三突出	santuchu,stc
三涂	santu,st
三途	santu,st
三吐三握	santuwo,stw
三兔穴	santuxue,stx
三推	santui,st
三推六问	santuiliuwen,stlw
三退	santui,st
三瓦两舍	sanwaliangshe,swls
三瓦两巷	sanwaliangxiang,swlx
三湾	sanwan,sw
三湾乡	sanwanxiang,swx
三万六千场	sanwanliuqianchang,swlqc
三万六千日	sanwanliuqianri,swlqr
三亡	sanwang,sw
三王	sanwang,sw
三王城	sanwangcheng,swc
三王墓	sanwangmu,swm
三忘	sanwang,sw
三望车	sanwangche,swc
三危	sanwei,sw
三微	sanwei,sw
三围	sanwei,sw
三违	sanwei,sw
三维	sanwei,sw
三维空间	sanweikongjian,swkj
三纬	sanwei,sw
三卫	sanwei,sw
三位博士	sanweiboshi,swbs
三位一体	sanweiyiti,swyt
三味线	sanweixian,swx
三畏	sanwei,sw
三魏	sanwei,sw
三温暖	sanwennuan,swn
三文鱼	sanwenyu,swy
三文治	sanwenzhi,swz
三窝两块	sanwoliangkuai,swlk
三握发	sanwofa,swf
三乌	sanwu,sw
三无	sanwu,sw
三无产品	sanwuchanpin,swcp
三无企业	sanwuqiye,swqy
三无人员	sanwurenyuan,swry
三无坐处	sanwuzuochu,swzc
三吴	sanwu,sw
三吾	sanwu,sw
三五	sanwu,sw
三五蟾光	sanwuchanguang,swcg
三五成群	sanwuchengqun,swcq
三五传柑	sanwuchuangan,swcg
三五门	sanwumen,swm
三五七言诗	sanwuqiyanshi,swqys
三五夕	sanwuxi,swx
三五夜	sanwuye,swy
三五月	sanwuyue,swy
三五之隆	sanwuzhilong,swzl
三武	sanwu,sw
三舞	sanwu,sw
三务	sanwu,sw
三物	sanwu,sw
三西	sanxi,sx
三希堂	sanxitang,sxt
三牺	sanxi,sx
三锡	sanxi,sx
三袭	sanxi,sx
三徙成都	sanxichengdou,sxcd
三徙成国	sanxichengguo,sxcg
三徙教	sanxijiao,sxj
三细	sanxi,sx
三郤	sanxi,sx
三侠五义	sanxiawuyi,sxwy
三峡	sanxia,sx
三峡大坝	sanxiadaba,sxdb
三峡水库	sanxiashuiku,sxsk
三峡镇	sanxiazhen,sxz
三下两下	sanxialiang,sxl
三下五除二	sanxiawuchuer,sxwce
三吓头	sanxiatou,sxt
三夏	sanxia,sx
三仙	sanxian,sx
三仙丹	sanxiandan,sxd
三鲜	sanxian,sx
三弦	sanxian,sx
三贤	sanxian,sx
三贤十圣	sanxianshisheng,sxss
三线	sanxian,sx
三献	sanxian,sx
三献官	sanxianguan,sxg
三献玉	sanxianyu,sxy
三乡诗	sanxiangshi,sxs
三相	sanxiang,sx
三相点	sanxiangdian,sxd
三相电流	sanxiangdianliu,sxdl
三相四线制	sanxiangsixianzhi,sxsxz
三相张家	sanxiangzhangjia,sxzj
三香	sanxiang,sx
三厢	sanxiang,sx
三湘	sanxiang,sx
三襄夷	sanxiangyi,sxy
三项	sanxiang,sx
三项全能	sanxiangquanneng,sxqn
三项式	sanxiangshi,sxs
三象	sanxiang,sx
三枭	sanxiao,sx
三消	sanxiao,sx
三萧碑	sanxiaobei,sxb
三硝基甲苯	sanxiaojijiaben,sxjjb
三霄	sanxiao,sx
三小	sanxiao,sx
三小凤凰	sanxiaofenghuang,sxfh
三小戏	sanxiaoxi,sxx
三小子	sanxiaozi,sxz
三笑图	sanxiaotu,sxt
三邪	sanxie,sx
三写成乌	sanxiechengwu,sxcw
三写易字	sanxieyizi,sxyz
三谢	sanxie,sx
三心	sanxin,sx
三心二意	sanxineryi,sxey
三心两意	sanxinliangyi,sxly
三衅	sanxin,sx
三衅三浴	sanxinyu,sxy
三星	sanxing,sx
三星堆	sanxingdui,sxd
三星户	sanxinghu,sxh
三星集团	sanxingjituan,sxjt
三星乡	sanxingxiang,sxx
三星约	sanxingyue,sxy
三星在户	sanxingzaihu,sxzh
三星在天	sanxingzaitian,sxzt
三刑	sanxing,sx
三行	sanxing,sx
三形	sanxing,sx
三性	sanxing,sx
三凶	sanxiong,sx
三雄	sanxiong,sx
三休	sanxiu,sx
三休台	sanxiutai,sxt
三休亭	sanxiuting,sxt
三秀	sanxiu,sx
三须钩	sanxugou,sxg
三徐	sanxu,sx
三玄	sanxuan,sx
三选	sanxuan,sx
三铉	sanxuan,sx
三削	sanxue,sx
三薛	sanxue,sx
三穴	sanxue,sx
三学	sanxue,sx
三学士	sanxueshi,sxs
三熏	sanxun,sx
三熏三沐	sanxunmu,sxm
三旬九食	sanxunjiushi,sxjs
三巡	sanxun,sx
三讯	sanxun,sx
三汛	sanxun,sx
三桠	sanya,sy
三牙	sanya,sy
三衙	sanya,sy
三衙家	sanyajia,syj
三雅	sanya,sy
三雅池	sanyachi,syc
三亚	sanya,sy
三亚市	sanyashi,sys
三严	sanyan,sy
三言	sanyan,sy
三言讹虎	sanyanehu,syeh
三言二拍	sanyanerpai,syep
三言两句	sanyanliangju,sylj
三言两语	sanyanliangyu,syly
三言诗	sanyanshi,sys
三言之道	sanyanzhidao,syzd
三炎	sanyan,sy
三檐青罗伞	sanyanqingluo,syql
三檐伞	sanyan,sy
三檐伞盖	sanyangai,syg
三檐四马	sanyansima,sysm
三眼铳	sanyanchong,syc
三厌	sanyan,sy
三咽	sanyan,sy
三燕	sanyan,sy
三阳	sanyang,sy
三阳交泰	sanyangjiaotai,syjt
三阳节	sanyangjie,syj
三阳开泰	sanyangkaitai,sykt
三阳五会	sanyangwuhui,sywh
三阳五输	sanyangwushu,syws
三杨	sanyang,sy
三洋	sanyang,sy
三养	sanyang,sy
三谣	sanyao,sy
三謡	sanyao,sy
三要	sanyao,sy
三曜	sanyao,sy
三野	sanye,sy
三业	sanye,sy
三叶	sanye,sy
三叶草	sanyecao,syc
三叶虫	sanyechong,syc
三叶星云	sanyexingyun,syxy
三一	sanyi,sy
三一八惨案	sanyibacanan,sybca
三一回五一回	sanyihuiwu,syhw
三一律	sanyilu,syl
三一三十一	sanyishi,sys
三衣	sanyi,sy
三医	sanyi,sy
三揖	sanyi,sy
三揖三让	sanyirang,syr
三仪	sanyi,sy
三夷	sanyi,sy
三夷教	sanyijiao,syj
三遗矢	sanyishi,sys
三彝	sanyi,sy
三已	sanyi,sy
三已心	sanyixin,syx
三义	sanyi,sy
三义乡	sanyixiang,syx
三弋	sanyi,sy
三异	sanyi,sy
三易	sanyi,sy
三益	sanyi,sy
三翼	sanyi,sy
三阴	sanyin,sy
三音	sanyin,sy
三音度	sanyindu,syd
三淫	sanyin,sy
三尹	sanyin,sy
三隐	sanyin,sy
三酳	sanyin,sy
三英	sanying,sy
三盈三虚	sanyingxu,syx
三影	sanying,sy
三影郎中	sanyinglangzhong,sylz
三雍	sanyong,sy
三雍宫	sanyonggong,syg
三踊	sanyong,sy
三用表	sanyongbiao,syb
三忧	sanyou,sy
三友	sanyou,sy
三有	sanyou,sy
三酉	sanyou,sy
三又	sanyou,sy
三右	sanyou,sy
三幼	sanyou,sy
三侑	sanyou,sy
三宥	sanyou,sy
三余	sanyu,sy
三余读书	sanyudushu,syds
三鱼	sanyu,sy
三虞	sanyu,sy
三雨	sanyu,sy
三语	sanyu,sy
三语掾	sanyuyuan,syy
三育	sanyu,sy
三狱	sanyu,sy
三浴三衅	sanyuxin,syx
三浴三熏	sanyuxun,syx
三欲	sanyu,sy
三元	sanyuan,sy
三元八会	sanyuanbahui,sybh
三元白法	sanyuanbaifa,sybf
三元醇	sanyuanchun,syc
三元节	sanyuanjie,syj
三元君	sanyuanjun,syj
三元客	sanyuanke,syk
三元里	sanyuanli,syl
三元区	sanyuanqu,syq
三元音	sanyuanyin,syy
三元运算	sanyuanyunsuan,syys
三垣	sanyuan,sy
三原	sanyuan,sy
三原色	sanyuanse,sys
三原县	sanyuanxian,syx
三原则	sanyuanze,syz
三袁	sanyuan,sy
三远	sanyuan,sy
三怨	sanyuan,sy
三怨成府	sanyuanchengfu,sycf
三院	sanyuan,sy
三月	sanyue,sy
三月不知肉味	sanyuebuzhirouwei,sybzrw
三月二	sanyueer,sye
三月份	sanyuefen,syf
三月街	sanyuejie,syj
三月三	sanyue,sy
三月三日	sanyueri,syr
三月雪	sanyuexue,syx
三越	sanyue,sy
三云	sanyun,sy
三韵	sanyun,sy
三帀	sanza,sz
三匝	sanza,sz
三灾	sanzai,sz
三灾八难	sanzaibanan,szbn
三灾六难	sanzailiunan,szln
三宰	sanzai,sz
三咤	sanzha,sz
三宅	sanzhai,sz
三鳣	sanzhan,sz
三斩	sanzhan,sz
三占从二	sanzhanconger,szce
三战三北	sanzhanbei,szb
三张	sanzhang,sz
三章	sanzhang,sz
三章法	sanzhangfa,szf
三长	sanchang,sc
三长两短	sanchangliangduan,scld
三长四短	sanchangsiduan,scsd
三长月	sanchangyue,scy
三长斋月	sanchangzhaiyue,sczy
三仗	sanzhang,sz
三障	sanzhang,sz
三招两式	sanzhaoliangshi,szls
三兆	sanzhao,sz
三折	sanzhe,sz
三折笔	sanzhebi,szb
三折肱	sanzhegong,szg
三折肱为良医	sanzhegongweiliangyi,szgwly
三折股为良医	sanzheguweiliangyi,szgwly
三哲	sanzhe,sz
三悊	sanzhe,sz
三贞	sanzhen,sz
三贞妇	sanzhenfu,szf
三贞九烈	sanzhenjiulie,szjl
三贞五烈	sanzhenwulie,szwl
三真	sanzhen,sz
三真经	sanzhenjing,szj
三真六草	sanzhenliucao,szlc
三阵	sanzhen,sz
三振	sanzhen,sz
三振出局	sanzhenchuju,szcj
三征	sanzheng,sz
三征七辟	sanzhiqipi,szqp
三正	sanzheng,sz
三之日	sanzhiri,szr
三支	sanzhi,sz
三支比量	sanzhibiliang,szbl
三芝	sanzhi,sz
三芝乡	sanzhixiang,szx
三直	sanzhi,sz
三只手	sanzhishou,szs
三旨相公	sanzhixianggong,szxg
三纸无驴	sanzhiwulu,szwl
三指	sanzhi,sz
三趾	sanzhi,sz
三趾滨鹬	sanzhibinyu,szby
三趾翠鸟	sanzhicuiniao,szcn
三趾鸥	sanzhiou,szo
三趾鸦雀	sanzhiyaque,szyq
三趾啄木鸟	sanzhizhuomuniao,szzmn
三至	sanzhi,sz
三志	sanzhi,sz
三制	sanzhi,sz
三制手	sanzhishou,szs
三陟	sanzhi,sz
三致千金	sanzhiqianjin,szqj
三致意	sanzhiyi,szy
三致志	sanzhi,sz
三智五猜	sanzhiwucai,szwc
三中全会	sanzhongquanhui,szqh
三忠	sanzhong,sz
三终	sanzhong,sz
三种	sanzhong,sz
三种人	sanzhongren,szr
三重	sanchong,sc
三重唱	sanchongchang,scc
三重地	sanchongde,scd
三重门	sanchongmen,scm
三重市	sanchongshi,scs
三重县	sanchongxian,scx
三重奏	sanchongzou,scz
三周	sanzhou,sz
三周说法	sanzhoushuofa,szsf
三洲	sanzhou,sz
三洲歌	sanzhouge,szg
三洲曲	sanzhouqu,szq
三肘	sanzhou,sz
三珠	sanzhu,sz
三珠符	sanzhufu,szf
三珠树	sanzhushu,szs
三铢钱	sanzhuqian,szq
三竺	sanzhu,sz
三住	sanzhu,sz
三注	sanzhu,sz
三注三唱	sanzhuchang,szc
三柱	sanzhu,sz
三柱里	sanzhuli,szl
三柱门	sanzhumen,szm
三祝	sanzhu,sz
三转身	sanzhuanshen,szs
三转四回头	sanzhuansihuitou,szsht
三锥子扎不出血来	sanzhuizizhabuchuxuelai,szzzbcxl
三准	sanzhun,sz
三资	sanzi,sz
三资企业	sanziqiye,szqy
三字	sanzi,sz
三字经	sanzijing,szj
三字狱	sanziyu,szy
三自	sanzi,sz
三自爱国教会	sanziaiguojiaohui,szagjh
三自教会	sanzijiaohui,szjh
三自一包	sanziyibao,szyb
三宗	sanzong,sz
三蝬	sanzong,sz
三鬃	sanzong,sz
三走	sanzou,sz
三足	sanzu,sz
三足鳖	sanzubie,szb
三足鼎	sanzuding,szd
三足鼎立	sanzudingli,szdl
三足金鸡	sanzujinji,szjj
三足金乌	sanzujinwu,szjw
三足能	sanzuneng,szn
三足乌	sanzuwu,szw
三族	sanzu,sz
三组	sanzu,sz
三俎	sanzu,sz
三祖	sanzu,sz
三嘴行	sanzuixing,szx
三醉	sanzui,sz
三尊	sanzun,sz
三左	sanzuo,sz
三座大山	sanzuodashan,szds
