大阿	daa,da
大量地	daliangde,dld
大量地给	daliangdegei,dldg
大量地使用	daliangdeshiyong,dldsy
大量地做	daliangdezuo,dldz
大量杀伤武器	daliangshashangwuqi,dlsswq
大量生产	daliangshengchan,dlsc
大僚	daliao,dl
大寮	daliao,dl
大寮乡	daliaoxiang,dlx
大料	daliao,dl
大咧咧	dalie,dl
大裂谷	daliegu,dlg
大林	dalin,dl
大林寺	dalinsi,dls
大林镇	dalinzhen,dlz
大临	dalin,dl
大鳞大麻哈鱼	dalinmahayu,dlmhy
大鳞大马哈鱼	dalinmahayu,dlmhy
大吝	dalin,dl
大陵	daling,dl
大菱鲆	dalingping,dlp
大龄	daling,dl
大龄青年	dalingqingnian,dlqn
大令	daling,dl
大溜	daliu,dl
大流行	daliuxing,dlx
大龙湫	dalongqiu,dlq
大娄山脉	daloushanmai,dlsm
大楼	dalou,dl
大炉	dalu,dl
大卤	dalu,dl
大陆	dalu,dl
大陆边缘	dalubianyuan,dlby
大陆冰川	dalubingchuan,dlbc
大陆岛	daludao,dld
大陆封锁政策	dalufengsuozhengce,dlfszc
大陆会议	daluhuiyi,dlhy
大陆架	dalujia,dlj
大陆客	daluke,dlk
大陆块	dalukuai,dlk
大陆理性派	dalulixingpai,dllxp
大陆妹	dalumei,dlm
大陆漂移	dalupiaoyi,dlpy
大陆漂移说	dalupiaoyishuo,dlpys
大陆坡	dalupo,dlp
大陆桥运输	daluqiaoyunshu,dlqys
大陆性	daluxing,dlx
大陆性气候	daluxingqihou,dlxqh
大辂	dalu,dl
大辂椎轮	daluzhuilun,dlzl
大鹿	dalu,dl
大禄	dalu,dl
大僇	dalu,dl
大路	dalu,dl
大路菜	dalucai,dlc
大路活	daluhuo,dlh
大路货	daluhuo,dlh
大路椎轮	daluzhuilun,dlzl
大戮	dalu,dl
大録	dalu,dl
大麓	dalu,dl
大吕	dalu,dl
大旅	dalu,dl
大律	dalu,dl
大虑	dalu,dl
大率	dashuai,ds
大绿雀鹎	daluquebei,dlqb
大脔	daluan,dl
大卵石	daluanshi,dls
大乱	daluan,dl
大略	dalue,dl
大略地	daluede,dld
大略地看	daluedekan,dldk
大伦	dalun,dl
大伦敦地区	dalundundiqu,dlddq
大论	dalun,dl
大罗	daluo,dl
大罗便	daluobian,dlb
大罗神仙	daluoshenxian,dlsx
大罗氏	daluoshi,dls
大罗天	daluotian,dlt
大萝卜	daluobo,dlb
大逻便	daluobian,dlb
大锣	daluo,dl
大锣大鼓	daluogu,dlg
大落	daluo,dl
大落落	daluo,dl
大妈	dama,dm
大妈妈	dama,dm
大麻	dama,dm
大麻二酚	damaerfen,dmef
大麻风	damafeng,dmf
大麻哈鱼	damahayu,dmhy
大麻鳽	damayan,dmy
大麻里	damali,dml
大麻里乡	damalixiang,dmlx
大马	dama,dm
大马哈鱼	damahayu,dmhy
大马猴	damahou,dmh
大马金刀	damajindao,dmjd
大马爵	damajue,dmj
大马趴	damapa,dmp
大马士革	damashige,dmsg
大马士革李	damashigeli,dmsgl
大骂	dama,dm
大麦	damai,dm
大麦地	damaidi,dmd
大麦克	damaike,dmk
大麦克指数	damaikezhishu,dmkzs
大麦町	damaiting,dmt
大卖场	damaichang,dmc
大满贯	damanguan,dmg
大忙	damang,dm
大忙季节	damangjijie,dmjj
大忙人	damangren,dmr
大芒骆	damangluo,dml
大芒落	damangluo,dml
大猫态	damaotai,dmt
大毛	damao,dm
大毛公	damaogong,dmg
大茂山	damaoshan,dms
大帽子	damaozi,dmz
大媒	damei,dm
大湄公河次区域	dameigongheciquyu,dmghcqy
大湄公河次区域合作	dameigongheciquyuzuo,dmghcqyz
大美	damei,dm
大美人	dameiren,dmr
大妹子	dameizi,dmz
大门	damen,dm
大门不出	damenbuchu,dmbc
大门官	damenguan,dmg
大门户	damenhu,dmh
大门头儿	damentouer,dmte
大门中	damenzhong,dmz
大盟	dameng,dm
大蒙	dameng,dm
大梦	dameng,dm
大梦初醒	damengchuxing,dmcx
大梦方醒	damengfangxing,dmfx
大米	dami,dm
大面	damian,dm
大面儿	damianer,dme
大面儿上	damianershang,dmes
大面积	damianji,dmj
大面积地	damianjide,dmjd
大面皮儿	damianpier,dmpe
大庙	damiao,dm
大灭绝	damiejue,dmj
大民族主义	daminzuzhuyi,dmzzy
大名	daming,dm
大名鼎鼎	damingding,dmd
大名难居	damingnanju,dmnj
大名县	damingxian,dmx
大明	daming,dm
大明法度	damingfadu,dmfd
大明宫	daminggong,dmg
大明湖	daminghu,dmh
大明历	damingli,dml
大明虾	damingxia,dmx
大鸣大放	damingfang,dmf
大鸣大放运动	damingfangyundong,dmfyd
大冥	daming,dm
大命	daming,dm
大谬	damiu,dm
大谬不然	damiuburan,dmbr
大摹	damo,dm
大模大样	damuyang,dmy
大模尸样	damushiyang,dmsy
大模厮样	damusiyang,dmsy
大沫崓	damogu,dmg
大莫	damo,dm
大莫与京	damoyujing,dmyj
大漠	damo,dm
大貊小貊	damoxiao,dmx
大谋	damou,dm
大谋不谋	damoubu,dmb
大缪	damiu,dm
大缪不然	damiuburan,dmbr
大母	damu,dm
大母指	damuzhi,dmz
大姆子	damuzi,dmz
大拇哥	damuge,dmg
大拇指	damuzhi,dmz
大拇指头	damuzhitou,dmzt
大墓地	damudi,dmd
大幕	damu,dm
大暮	damu,dm
大拿	dana,dn
大奶奶	danai,dn
大男	danan,dn
大男大女	danannu,dnn
大男人	dananren,dnr
大男人主义	dananrenzhuyi,dnrzy
大男小女	dananxiaonu,dnxn
大男幼女	dananyounu,dnyn
大男子主义	dananzizhuyi,dnzzy
大男子主义者	dananzizhuyizhe,dnzzyz
大难	danan,dn
大难不死	dananbusi,dnbs
大难临头	dananlintou,dnlt
大挠	danao,dn
大脑	danao,dn
大脑皮层	danaopiceng,dnpc
大脑皮质	danaopizhi,dnpz
大脑殻	danaoke,dnk
大脑死亡	danaosiwang,dnsw
大脑炎	danaoyan,dny
大闹	danao,dn
大闹天宫	danaotiangong,dntg
大内	danei,dn
大能	daneng,dn
大鲵	dani,dn
大拟啄木鸟	danizhuomuniao,dnzmn
大逆	dani,dn
大逆不道	danibudao,dnbd
大逆无道	daniwudao,dnwd
大年	danian,dn
大年初一	danianchuyi,dncy
大年日	danianri,dnr
大年三十	daniansanshi,dnss
大年夜	danianye,dny
大辇	danian,dn
大娘	daniang,dn
大娘子	daniangzi,dnz
大宁	daning,dn
大宁县	daningxian,dnx
大牛	daniu,dn
大农	danong,dn
大农场	danongchang,dnc
大农业	danongye,dny
大弄	danong,dn
大奴	danu,dn
大怒	danu,dn
大女	danu,dn
大女人	danuren,dnr
大衄	danu,dn
大虐	danue,dn
大傩	danuo,dn
大诺	danuo,dn
大排	dapai,dp
大排档	dapaidang,dpd
大排行	dapaihang,dph
大排长龙	dapaichanglong,dpcl
大牌	dapai,dp
大牌档	dapaidang,dpd
大盘大碗	dapanwan,dpw
大盘鸡	dapanji,dpj
大盘尾	dapanwei,dpw
大盘子	dapanzi,dpz
大判	dapan,dp
大盼盼	dapan,dp
大庖	dapao,dp
大炮	dapao,dp
大炮打蚊子	dapaowenzi,dpwz
大陪审团	dapeishentuan,dpst
大霈	dapei,dp
大盆地	dapendi,dpd
大烹	dapeng,dp
大彭	dapeng,dp
大棚	dapeng,dp
大蓬	dapeng,dp
大鹏	dapeng,dp
大鹏鸟	dapengniao,dpn
大篷车	dapengche,dpc
大伾	dapi,dp
大批	dapi,dp
大批特批	dapite,dpt
大邳	dapi,dp
大岯	dapi,dp
大埤	dapi,dp
大埤乡	dapixiang,dpx
大疋	dapi,dp
大辟	dapi,dp
大偏	dapian,dp
大篇	dapian,dp
大片	dapian,dp
大票	dapiao,dp
大贫	dapin,dp
大品	dapin,dp
大聘	dapin,dp
大平	daping,dp
大平原	dapingyuan,dpy
大坡	dapo,dp
大破大立	dapoli,dpl
大仆	dapu,dp
大酺	dapu,dp
大璞不完	taipubuwan,tpbw
大朴	dapu,dp
大浦洞	dapudong,dpd
大谱儿	dapuer,dpe
大期	daqi,dq
大齐	daqi,dq
大旗	daqi,dq
大企业	daqiye,dqy
大起大落	daqiluo,dql
大起居	daqiju,dqj
大气	daqi,dq
大气磅礴	daqipangbo,dqpb
大气保温效应	daqibaowenxiaoying,dqbwxy
大气层	daqiceng,dqc
大气层核试验	daqicengheshiyan,dqchsy
大气儿	daqier,dqe
大气辐射	daqifushe,dqfs
大气候	daqihou,dqh
大气环流	daqihuanliu,dqhl
大气逆辐射	daqinifushe,dqnfs
大气暖化	daqinuanhua,dqnh
大气圈	daqiquan,dqq
大气污染	daqiwuran,dqwr
大气压	daqiya,dqy
大气压力	daqiyali,dqyl
大气压强	daqiyaqiang,dqyq
大器	daqi,dq
大器晚成	daqiwancheng,dqwc
大器晩成	daqiwancheng,dqwc
大鼜	daqi,dq
大千	daqian,dq
大千世界	daqianshijie,dqsj
大迁	daqian,dq
大前儿	daqianer,dqe
大前年	daqiannian,dqn
大前提	daqianti,dqt
大前天	daqiantian,dqt
大钱	daqian,dq
大钱大物	daqianwu,dqw
大浅盘	daqianpan,dqp
大枪	daqiang,dq
大墙	daqiang,dq
大乔	daqiao,dq
大桥	daqiao,dq
大巧若拙	daqiaoruozhuo,dqrz
大亲	daqin,dq
大侵	daqin,dq
大秦	daqin,dq
大秦景教流行中国碑	daqinjingjiaoliuxingzhongguobei,dqjjlxzgb
大秦君	daqinjun,dqj
大秦铁路	daqintielu,dqtl
大秦珠	daqinzhu,dqz
大琴	daqin,dq
大寝	daqin,dq
大青	daqing,dq
大青年	daqingnian,dqn
大青山	daqingshan,dqs
大卿	daqing,dq
大清	daqing,dq
大清帝国	daqingdiguo,dqdg
大清老早	daqinglaozao,dqlz
大清明	daqingming,dqm
大清早	daqingzao,dqz
大情	daqing,dq
大晴天	daqingtian,dqt
大请大受	daqingshou,dqs
大庆	daqing,dq
大庆市	daqingshi,dqs
大庆油田	daqingyoutian,dqyt
大箐山	daqingshan,dqs
大磬	daqing,dq
大穷	daqiong,dq
大邱	daqiu,dq
大邱广域市	daqiuguangyushi,dqgys
大邱市	daqiushi,dqs
大秋	daqiu,dq
大秋作物	daqiuzuowu,dqzw
大酋	daqiu,dq
大球	daqiu,dq
大裘	daqiu,dq
大区	daqu,dq
大曲	daqu,dq
大屈	daqu,dq
大趋势	daqushi,dqs
大渠	daqu,dq
大去	daqu,dq
大趣	daqu,dq
大全	daquan,dq
大权	daquan,dq
大权独揽	daquandulan,dqdl
大权旁落	daquanpangluo,dqpl
大权在握	daquanzaiwo,dqzw
大泉	daquan,dq
大痊	daquan,dq
大犬	daquan,dq
大犬座	daquanzuo,dqz
大阙	daque,dq
大雀	daque,dq
大搉	daque,dq
大榷	daque,dq
大群	daqun,dq
大染缸	darangang,drg
大穣	darang,dr
大穰	darang,dr
大壤	darang,dr
大桡	darao,dr
大热	dare,dr
大人	daren,dr
大人不记小人过	darenbujixiaoguo,drbjxg
大人不见小人怪	darenbujianxiaoguai,drbjxg
大人公	darengong,drg
大人国	darenguo,drg
大人虎变	darenhubian,drhb
大人家	darenjia,drj
大人似地	darenshide,drsd
大人物	darenwu,drw
大人先生	darenxiansheng,drxs
大仁	daren,dr
大仁大义	darenyi,dry
大稔	daren,dr
大任	daren,dr
大日如来	darirulai,drrl
大戎	darong,dr
大容	darong,dr
大容量	darongliang,drl
大熔炉	daronglu,drl
大蝾螈	darongyuan,dry
大融炉	daronglu,drl
大肉	darou,dr
大儒	daru,dr
大阮	daruan,dr
大润	darun,dr
大润发	darunfa,drf
大撒巴掌	dasabazhang,dsbz
大撒把	dasaba,dsb
大撒手	dasashou,dss
大赛	dasai,ds
大三	dasan,ds
大三度	dasandu,dsd
大三和弦	dasanhexian,dshx
大散关	dasanguan,dsg
大嗓	dasang,ds
大丧	dasang,ds
大扫除	dasaochu,dsc
大嫂	dasao,ds
大嫂子	dasaozi,dsz
大杀	dasha,ds
大杀风景	dashafengjing,dsfj
大沙河	dashahe,dsh
大沙锥	dashazhui,dsz
大煞风景	dashafengjing,dsfj
大煞风趣	dashafengqu,dsfq
大厦	dasha,ds
大厦栋梁	dashadongliang,dsdl
大厦将颠	dashajiangdian,dsjd
大厦将倾	dashajiangqing,dsjq
大晒	dashai,ds
大山	dashan,ds
大山猫	dashanmao,dsm
大山雀	dashanque,dsq
大山小山	taishanxiao,tsx
大衫	dashan,ds
大伤元气	dashangyuanqi,dsyq
大商	dashang,ds
大上	dashang,ds
大上造	dashangzao,dsz
大韶	dashao,ds
大少	dashao,ds
大少爷	dashaoye,dsy
大少爷作风	dashaoyezuofeng,dsyzf
大舌头	dashetou,dst
大蛇丸	dashewan,dsw
大舍	dashe,ds
大设设	dashe,ds
大社	dashe,ds
大社乡	dashexiang,dsx
大射	dashe,ds
大赦	dashe,ds
大赦国际	dasheguoji,dsgj
大赦令	dasheling,dsl
大谁	dashui,ds
大身	dashen,ds
大身子	dashenzi,dsz
大神	dashen,ds
大神农架	dashennongjia,dsnj
大审	dashen,ds
大婶	dashen,ds
大婶儿	dashener,dse
大生	dasheng,ds
大声	dasheng,ds
大声地	dashengde,dsd
大声地喊	dashengdehan,dsdh
大声地喊道	dashengdehandao,dsdhd
大声地尖叫	dashengdejianjiao,dsdjj
大声地讲	dashengdejiang,dsdj
大声地叫	dashengdejiao,dsdj
大声地嚼	dashengdejue,dsdj
大声地哭	dashengdeku,dsdk
大声地说	dashengdeshuo,dsds
大声地笑	dashengdexiao,dsdx
大声地要求	dashengdeyaoqiu,dsdyq
大声喊叫	dashenghanjiao,dshj
大声疾呼	dashengjihu,dsjh
大牲	dasheng,ds
大牲畜	dashengchu,dsc
大圣	dasheng,ds
大胜	dasheng,ds
大失人望	dashirenwang,dsrw
大失所望	dashisuowang,dssw
大师	dashi,ds
大师父	dashifu,dsf
大师傅	dashifu,dsf
大师兄	dashixiong,dsx
大石调	dashidiao,dsd
大石鸻	dashiheng,dsh
大石鸡	dashiji,dsj
大石桥	dashiqiao,dsq
大石桥市	dashiqiao,dsq
大时	dashi,ds
大实话	dashihua,dsh
大食	dashi,ds
大史	dashi,ds
大使	dashi,ds
大使馆	dashiguan,dsg
大使级	dashiji,dsj
大使者	dashizhe,dsz
大始	taishi,ts
大士	dashi,ds
大世界	dashijie,dsj
大市	dashi,ds
大事	dashi,ds
大事不糊涂	dashibuhutu,dsbht
大事不妙	dashibumiao,dsbm
大事化小	dashihuaxiao,dshx
大事记	dashiji,dsj
大事夸张	dashikuazhang,dskz
大事年表	dashinianbiao,dsnb
大事铺张	dashipuzhang,dspz
大事去矣	dashiquyi,dsqy
大势	dashi,ds
大势所趋	dashisuoqu,dssq
大势已去	dashiyiqu,dsyq
大势至	dashizhi,dsz
大势至菩萨	dashizhipusa,dszps
大视	dashi,ds
大室	dashi,ds
大是大非	dashifei,dsf
大誓愿	dashiyuan,dsy
大收煞	dashousha,dss
大手	dashou,ds
大手笔	dashoubi,dsb
大手大脚	dashoujiao,dsj
大手术	dashoushu,dss
大寿	dashou,ds
大受	dashou,ds
大书	dashu,ds
大书特书	dashute,dst
大叔	dashu,ds
大菽	dashu,ds
大孰	dashu,ds
大熟	dashu,ds
大暑	dashu,ds
大鼠	dashu,ds
大术	dashu,ds
大树	dashu,ds
大树菠萝	dashuboluo,dsbl
大树底下好乘凉	dashudixiahaochengliang,dsdxhcl
大树将军	dashujiangjun,dsjj
大树乡	dashuxiang,dsx
大树莺	dashuying,dsy
大数	dashu,ds
大数法则	dashufaze,dsfz
大数据	dashuju,dsj
大帅	dashuai,ds
大水	dashui,ds
大水冲了龙王庙	dashuichonglelongwangmiao,dscllwm
大顺	dashun,ds
大舜	dashun,ds
大说	dayue,dy
大司	dasi,ds
大司成	dasicheng,dsc
大司空	dasikong,dsk
大司乐	dasile,dsl
大司马	dasima,dsm
大司农	dasinong,dsn
大司徒	dasitu,dst
大司务	dasiwu,dsw
大厮八	dasiba,dsb
大厮把	dasiba,dsb
大厮并	dasibing,dsb
大四	dasi,ds
大四八	dasiba,dsb
大四至	dasizhi,dsz
大寺院	dasiyuan,dsy
大姒	dasi,ds
大祀	dasi,ds
大肆	dasi,ds
大肆攻击	dasigongji,dsgj
大肆鼓	dasigu,dsg
大肆挥霍	dasihuihuo,dshh
大肆厥辞	dasijueci,dsjc
大肆铺张	dasipuzhang,dspz
大肆宣传	dasixuanchuan,dsxc
大搜	dasou,ds
大溲	dasou,ds
大苏	dasu,ds
大宿	dasu,ds
大蒜	dasuan,ds
大绥	dasui,ds
大岁	dasui,ds
大隧	dasui,ds
大踏步	databu,dtb
大踏步地	databude,dtbd
大抬杆	dataigan,dtg
大太爷	dataiye,dty
大谈	datan,dt
大谈特谈	datante,dtt
大唐	datang,dt
大唐狄公案	datangdigongan,dtdga
大唐芙蓉园	datangfurongyuan,dtfry
大唐秦王词话	datangqinwangcihua,dtqwch
大唐三藏取经诗话	datangsanzangqujingshihua,dtszqjsh
大唐西域记	datangxiyuji,dtxyj
大唐新语	datangxinyu,dtxy
大堂	datang,dt
大逃港	dataogang,dtg
大慝	date,dt
大提琴	datiqin,dtq
大提琴手	datiqinshou,dtqs
大题	dati,dt
大题小作	datixiaozuo,dtxz
大题小做	datixiaozuo,dtxz
大体	dati,dt
大体解剖学	datijiepouxue,dtjpx
大体老师	datilaoshi,dtls
大体上	datishang,dts
大天	datian,dt
大天白日	datianbairi,dtbr
大天鹅	datiane,dte
大天光	datianguang,dtg
大田	datian,dt
大田广域市	datianguangyushi,dtgys
大田市	datianshi,dts
大田县	datianxian,dtx
大田作物	datianzuowu,dtzw
大填	datian,dt
大挑	datiao,dt
大条	datiao,dt
大厅	dating,dt
大廷	dating,dt
大廷广众	datingguangzhong,dtgz
大庭	dating,dt
大庭广众	datingguangzhong,dtgz
大庭氏	datingshi,dts
大通	datong,dt
大通回族土族自治县	datonghuizutuzizhixian,dthztzzx
大通区	datongqu,dtq
大通县	datongxian,dtx
大同	datong,dt
大同江	datongjiang,dtj
大同煤矿	datongmeikuang,dtmk
大同区	datongqu,dtq
大同市	datongshi,dts
大同书	datongshu,dts
大同县	datongxian,dtx
大同乡	datongxiang,dtx
大同小异	datongxiaoyi,dtxy
大统	datong,dt
大统历	datongli,dtl
大统一理论	datongyililun,dtyll
大桶	datong,dt
大头	datou,dt
大头菜	datoucai,dtc
大头钉	datouding,dtd
大头巾	datoujin,dtj
大头目	datoumu,dtm
大头脑	datounao,dtn
大头贴	datoutie,dtt
大头娃娃	datouwa,dtw
大头小尾	datouxiaowei,dtxw
大头鱼	datouyu,dty
大头照	datouzhao,dtz
大头针	datouzhen,dtz
大投	datou,dt
大投资家	datouzijia,dtzj
大涂	datu,dt
大屠杀	datusha,dts
大屠杀事件	datushashijian,dtssj
大土	datu,dt
大团结	datuanjie,dtj
大团圆	datuanyuan,dty
大腿	datui,dt
大腿袜	datuiwa,dtw
大吞噬细胞	datunshixibao,dtsxb
大屯火山	datunhuoshan,dths
大洼	dawa,dw
大洼县	dawaxian,dwx
大外	dawai,dw
大外宣	dawaixuan,dwx
大湾区	dawanqu,dwq
大顽	dawan,dw
大宛	dayuan,dy
大宛马	dayuanma,dym
大畹	dawan,dw
大碗茶	dawancha,dwc
大碗岛上的一个星期日	dawandaoshangdeyigexingqiri,dwdsdygxqr
大碗儿茶	dawanercha,dwec
大万	dawan,dw
大腕	dawan,dw
大腕儿	dawaner,dwe
大王	dawang,dw
大王风	daiwangfeng,dwf
大王父	daiwangfu,dwf
大忘	dawang,dw
大望	dawang,dw
大威	dawei,dw
大微	dawei,dw
大围	dawei,dw
大伟	dawei,dw
大尾巴狼	dayibalang,dybl
大苇莺	daweiying,dwy
大隗	dawei,dw
大卫	dawei,dw
大卫营和约	daweiyingheyue,dwyhy
大为	dawei,dw
大位	dawei,dw
大味	dawei,dw
大胃王	daweiwang,dww
大尉	dawei,dw
大尉迟	dayuchi,dyc
大文	dawen,dw
大文蛤	dawenge,dwg
大闻	dawen,dw
大问	dawen,dw
大汶口文化	dawenkouhua,dwkh
大翁	daweng,dw
大我	dawo,dw
大乌苏里岛	dawusulidao,dwsld
大乌鸦	dawuya,dwy
大巫	dawu,dw
大屋顶	dawuding,dwd
大无畏	dawuwei,dww
大五金	dawujin,dwj
大五码	dawuma,dwm
大五趾跳鼠	dawuzhitiaoshu,dwzts
大武	dawu,dw
大武口	dawukou,dwk
大武口区	dawukouqu,dwkq
大武乡	dawuxiang,dwx
大务	dawu,dw
大物	dawu,dw
大悟	dawu,dw
大悟县	dawuxian,dwx
大雾	dawu,dw
大西	daxi,dx
大西北	daxibei,dxb
大西庇阿	daxibia,dxba
大西国	daxiguo,dxg
大西米	daximi,dxm
大西南	daxinan,dxn
大西洋	daxiyang,dxy
大西洋国	daxiyangguo,dxyg
大西洋海岭	daxiyanghailing,dxyhl
大西洋洋中脊	daxiyangzhongji,dxyzj
大西洋中脊	daxiyangzhongji,dxyzj
大息	taixi,tx
大溪	daxi,dx
大溪地	daxidi,dxd
大溪豆干	daxidougan,dxdg
大溪镇	daxizhen,dxz
大糦	daxi,dx
大媳妇	daxifu,dxf
大喜	daxi,dx
大喜过望	daxiguowang,dxgw
大喜若狂	daxiruokuang,dxrk
大戏	daxi,dx
大系	daxi,dx
大虾	daxia,dx
大侠	daxia,dx
大峡谷	daxiagu,dxg
大祫	daxia,dx
大遐	daxia,dx
大夏	daxia,dx
大夏侯	daxiahou,dxh
大仙	daxian,dx
大仙鹟	daxianweng,dxw
大先知书	daxianzhishu,dxzs
大闲	daxian,dx
大弦戏	daxianxi,dxx
大弦子戏	daxianzixi,dxzx
大贤	daxian,dx
大贤虎变	daxianhubian,dxhb
大显身手	daxianshenshou,dxss
大显神通	daxianshentong,dxst
大限	daxian,dx
大限到来	daxiandaolai,dxdl
大限临头	daxianlintou,dxlt
大宪	daxian,dx
大宪台	daxiantai,dxt
大宪章	daxianzhang,dxz
大献	daxian,dx
大相国寺	daxiangguosi,dxgs
大相径庭	daxiangjingting,dxjt
大相迳庭	daxiangjingting,dxjt
大祥	daxiang,dx
大祥区	daxiangqu,dxq
大享	daxiang,dx
大飨	daxiang,dx
大项	daxiang,dx
大象	daxiang,dx
大象地	daxiangde,dxd
大象口里拔生牙	daxiangkoulibashengya,dxklbsy
大象棋	daxiangqi,dxq
大萧条	daxiaotiao,dxt
大箫	daxiao,dx
大嚣	daxiao,dx
大小	daxiao,dx
大小便	daxiaobian,dxb
大小大	daxiao,dx
大小戴	daxiaodai,dxd
大小杜	daxiaodu,dxd
大小方脉	daxiaofangmai,dxfm
大小虎	daxiaohu,dxh
大小姐	daxiaojie,dxj
大小君	daxiaojun,dxj
大小米	daxiaomi,dxm
大小欧阳	daxiaoouyang,dxoy
大小阮	daxiaoruan,dxr
大小三度	daxiaosandu,dxsd
大小山	daxiaoshan,dxs
大小宋	daxiaosong,dxs
大小夏侯	daxiaoxiahou,dxxh
大小写	daxiaoxie,dxx
大小谢	daxiaoxie,dxx
大小学士	daxiaoxueshi,dxxs
大小子	daxiaozi,dxz
大校	daxiao,dx
大笑	daxiao,dx
大写	daxie,dx
大写锁定	daxiesuoding,dxsd
大写字母	daxiezimu,dxzm
大卸八块	daxiebakuai,dxbk
大心	daxin,dx
大昕	daxin,dx
大新	daxin,dx
大新县	daxinxian,dxx
大信	daxin,dx
大星	daxing,dx
大星芹	daxingqin,dxq
大猩猩	daxing,dx
大刑	daxing,dx
大行	daxing,dx
大行大市	dahangshi,dhs
大行皇帝	daxinghuangdi,dxhd
大行皇后	dahanghuanghou,dhhh
大行其道	daxingqidao,dxqd
大行人	dahangren,dhr
大行星	daxing,dx
大行政区	dahangzhengqu,dhzq
大型	daxing,dx
大型空爆炸弹	daxingkongbaozhadan,dxkbzd
大型强子对撞机	daxingqiangziduizhuangji,dxqzdzj
大兴	daxing,dx
大兴安岭	daxinganling,dxal
大兴安岭地区	daxinganlingdiqu,dxaldq
大兴安岭山脉	daxinganlingshanmai,dxalsm
大兴地	daxingde,dxd
大兴机场	daxingjichang,dxjc
大兴区	daxingqu,dxq
大兴土木	daxingtumu,dxtm
大兴问罪之师	daxingwenzuizhishi,dxwzzs
大姓	daxing,dx
大幸	daxing,dx
大凶	daxiong,dx
大兄	daxiong,dx
大兄弟	daxiongdi,dxd
大雄	daxiong,dx
大雄宝殿	daxiongbaodian,dxbd
大雄佛	daxiongfo,dxf
大熊猫	daxiongmao,dxm
大熊猫科	daxiongmaoke,dxmk
大熊座	daxiongzuo,dxz
大修	daxiu,dx
大修道院	daxiudaoyuan,dxdy
大修道院长	daxiudaoyuanzhang,dxdyz
大胥	daxu,dx
大虚	daxu,dx
大徐	daxu,dx
大序	daxu,dx
大选	daxuan,dx
大学	daxue,dx
大学本科	daxuebenke,dxbk
大学部	daxuebu,dxb
大学城	daxuecheng,dxc
大学入学指定科目考试	daxueruzhidingkemukaoshi,dxrzdkmks
大学生	daxuesheng,dxs
大学士	daxueshi,dxs
大学堂	daxuetang,dxt
大学学科能力测验	daxuekenengliceyan,dxknlcy
大学预科	daxueyuke,dxyk
大噱	dajue,dj
大雪	daxue,dx
大雪山	daxueshan,dxs
大雪山脉	daxueshanmai,dxsm
大勋	daxun,dx
大询	daxun,dx
大循环	daxunhuan,dxh
大训	daxun,dx
大巽他群岛	daxuntaqundao,dxtqd
大丫头	dayatou,dyt
大牙	daya,dy
大雅	daya,dy
大雅君子	dayajunzi,dyjz
大雅乡	dayaxiang,dyx
大雅之堂	dayazhitang,dyzt
大亚湾	dayawan,dyw
大亚湾核电站	dayawanhedianzhan,dywhdz
大烟	dayan,dy
大烟鬼	dayangui,dyg
大阉	dayan,dy
大言	dayan,dy
大言不惭	dayanbucan,dybc
大盐	dayan,dy
大盐湖	dayanhu,dyh
大颜	dayan,dy
大檐帽	dayanmao,dym
大衍	dayan,dy
大衍历	dayanli,dyl
大眼瞪小眼	dayandengxiao,dydx
大眼角	dayanjiao,dyj
大眼望小眼	dayanwangxiao,dywx
大眼贼	dayanzei,dyz
大演数	dayanshu,dys
大雁	dayan,dy
大雁塔	dayanta,dyt
大鴈	dayan,dy
大羊驼	dayangtuo,dyt
大洋	dayang,dy
大洋龙	dayanglong,dyl
大洋盆地	dayangpendi,dypd
大洋型地壳	dayangxingdiqiao,dyxdq
大洋中脊	dayangzhongji,dyzj
大洋洲	dayangzhou,dyz
大仰爬脚子	dayangpajiaozi,dypjz
大氧吧	dayangba,dyb
大样	dayang,dy
大吆小喝	dayaoxiaohe,dyxh
大腰	dayao,dy
大姚	dayao,dy
大姚县	dayaoxian,dyx
大谣	dayao,dy
大摇大摆	dayaobai,dyb
大摇大摆地走	dayaobaidezou,dybdz
大繇	dayao,dy
大药	dayao,dy
大要	dayao,dy
大爷	daye,dy
大冶	daye,dy
大冶市	dayeshi,dys
大野	daye,dy
大野狼	dayelang,dyl
大业	daye,dy
大叶性肺炎	dayexingfeiyan,dyxfy
大叶杨	dayeyang,dyy
大夜	daye,dy
大谒者	dayezhe,dyz
大一	dayi,dy
大一会	dayihui,dyh
大一统	dayitong,dyt
大一统志	dayitongzhi,dytz
大一些	dayixie,dyx
大衣	dayi,dy
大衣服	dayifu,dyf
大医	dayi,dy
大仪	dayi,dy
大姨	dayi,dy
大姨妈	dayima,dym
大姨子	dayizi,dyz
大义	dayi,dy
大义凛然	dayilinran,dylr
大义灭亲	dayimieqin,dymq
大议	dayi,dy
大役	dayi,dy
大邑	dayi,dy
大邑县	dayixian,dyx
大易	dayi,dy
大谊	dayi,dy
大意	dayi,dy
大意失荆州	dayishijingzhou,dysjz
大阴	dayin,dy
大音	dayin,dy
大音希声	dayinxisheng,dyxs
大尹	dayin,dy
大隐	dayin,dy
大印	dayin,dy
大英	daying,dy
大英博物馆	dayingbowuguan,dybwg
大英帝国	dayingdiguo,dydg
