一案	yian,ya
一九	yijiu,yj
一九三六年春在太原	yijiusanliunianchunzaitaiyuan,yjslnczty
一就	yijiu,yj
一就手儿	yijiushouer,yjse
一匊	yiju,yj
一拘	yiju,yj
一掬	yiju,yj
一掬同情之泪	yijutongqingzhilei,yjtqzl
一局	yiju,yj
一举	yiju,yj
一举成功	yijuchenggong,yjcg
一举成名	yijuchengming,yjcm
一举两得	yijuliangde,yjld
一举两全	yijuliangquan,yjlq
一举千里	yijuqianli,yjql
一举三反	yijusanfan,yjsf
一举手一投足	yijushoutouzu,yjstz
一举手之劳	yijushouzhilao,yjszl
一举万里	yijuwanli,yjwl
一举一动	yijudong,yjd
一句	yiju,yj
一句话	yijuhua,yjh
一句钟	yijuzhong,yjz
一卷	yijuan,yj
一决雌雄	yijuecixiong,yjcx
一决胜负	yijueshengfu,yjsf
一觉	yijiao,yj
一觉地	yijiaode,yjd
一觉醒来	yijiaoxinglai,yjxl
一蹶	yijue,yj
一蹶不兴	yijuebuxing,yjbx
一蹶不振	yijuebuzhen,yjbz
一均衡地	yijunhengde,yjhd
一卡通	yikatong,ykt
一棵树上吊死人	yikeshushangdiaosiren,ykssdsr
一窠	yike,yk
一窠麻	yikema,ykm
一窠子	yikezi,ykz
一颗老鼠屎坏了一锅汤	yikelaoshushihuaileguotang,yklsshlgt
一颗老鼠屎坏了一锅粥	yikelaoshushihuaileguozhou,yklsshlgz
一颗米	yikemi,ykm
一克	yike,yk
一刻	yike,yk
一刻地	yikede,ykd
一刻千金	yikeqianjin,ykqj
一客不烦二主	yikebufanerzhu,ykbfez
一客不烦两家	yikebufanliangjia,ykbflj
一客不犯二主	yikebufanerzhu,ykbfez
一客弗烦两主	yikefufanliangzhu,ykfflz
一空	yikong,yk
一空依傍	yikongbang,ykb
一孔	yikong,yk
一孔不达	yikongbuda,ykbd
一孔之见	yikongzhijian,ykzj
一口	yikou,yk
一口不能着两匙	yikoubunengzhaoliangchi,ykbnzlc
一口吃不成胖子	yikouchibuchengpangzi,ykcbcpz
一口吃个胖子	yikouchigepangzi,ykcgpz
一口胡柴	yikouhuchai,ykhc
一口价	yikoujia,ykj
一口两匙	yikouliangchi,yklc
一口气	yikouqi,ykq
一口气地	yikouqide,ykqd
一口气儿	yikouqier,ykqe
一口三舌	yikousanshe,ykss
一口同声	yikoutongsheng,ykts
一口同音	yikoutongyin,ykty
一口吸尽西江水	yikouxijinjiangshui,ykxjjs
一口咬定	yikouyaoding,ykyd
一口一声	yikousheng,yks
一口长斋	yikouchangzhai,ykcz
一口中	yikouzhong,ykz
一口钟	yikouzhong,ykz
一哭二闹	yikuernao,yken
一哭二闹三上吊	yikuernaosanshangdiao,ykenssd
一块	yikuai,yk
一块地	yikuaide,ykd
一块儿	yikuaier,yke
一块肉	yikuairou,ykr
一块石头落地	yikuaishitouluodi,ykstld
一块石头落了地	yikuaishitouluoledi,ykstlld
一块土	yikuaitu,ykt
一快	yikuai,yk
一匡	yikuang,yk
一匡九合	yikuangjiuhe,ykjh
一匡天下	yikuangtianxia,yktx
一窥端倪	yikuiduanni,ykdn
一揆	yikui,yk
一夔	yikui,yk
一夔一契	yikuiqi,ykq
一夔已足	yikuizu,ykz
一夔足	yikuizu,ykz
一匮	yikui,yk
一馈十起	yikuishiqi,yksq
一篑	yikui,yk
一篑之功	yikuizhigong,ykzg
一括	yikuo,yk
一拉溜	yilaliu,yll
一腊	yila,yl
一来	yilai,yl
一来二去	yilaierqu,yleq
一来一往	yilaiwang,ylw
一览	yilan,yl
一览表	yilanbiao,ylb
一览无遗	yilanwu,ylw
一览无余	yilanwuyu,ylwy
一览众山小	yilanzhongshanxiao,ylzsx
一揽包收	yilanbaoshou,ylbs
一揽子	yilanzi,ylz
一劳久逸	yilaojiu,ylj
一劳永逸	yilaoyong,yly
一劳永逸地	yilaoyongde,ylyd
一老	yilao,yl
一老一实	yilaoshi,yls
一涝	yilao,yl
一了	yiliao,yl
一了百当	yiliaobaidang,ylbd
一了百了	yiliaobai,ylb
一雷二闪	yileiershan,yles
一类	yilei,yl
一类保护动物	yileibaohudongwu,ylbhdw
一犂两坝	yililiangba,yllb
一犂雨	yiliyu,yly
一理	yili,yl
一力	yili,yl
一力承当	yilichengdang,ylcd
一历历	yili,yl
一例	yili,yl
一粒老鼠屎坏了一锅粥	yililaoshushihuaileguozhou,yllsshlgz
一连	yilian,yl
一连串	yilianchuan,ylc
一连叠	yiliandie,yld
一连气	yilianqi,ylq
一连气儿	yilianqier,ylqe
一联	yilian,yl
一廉如水	yilianrushui,ylrs
一脸茫然	yilianmangran,ylmr
一两	yiliang,yl
一量	yiliang,yl
一列	yilie,yl
一鳞半甲	yilinbanjia,ylbj
一鳞半爪	yilinbanzhao,ylbz
一鳞片甲	yilinpianjia,ylpj
一鳞片爪	yilinpianzhao,ylpz
一鳞一爪	yilinzhao,ylz
一麟	yilin,yl
一灵	yiling,yl
一灵真性	yilingzhenxing,ylzx
一零儿	yilinger,yle
一领	yiling,yl
一令纸	yilingzhi,ylz
一溜	yiliu,yl
一溜鞭光	yiliubianguang,ylbg
一溜串儿	yiliuchuaner,ylce
一溜儿	yiliuer,yle
一溜风	yiliufeng,ylf
一溜雷	yiliulei,yll
一溜水	yiliushui,yls
一溜歪斜	yiliuwaixie,ylwx
一溜兀剌	yiliuwula,ylwl
一溜烟	yiliuyan,yly
一溜烟跑掉	yiliuyanpaodiao,ylypd
一溜遭	yiliuzao,ylz
一溜子	yiliuzi,ylz
一流	yiliu,yl
一流地	yiliude,yld
一绺	yiliu,yl
一六兀剌	yiliuwula,ylwl
一龙	yilong,yl
一龙一蛇	yilongshe,yls
一龙一猪	yilongzhu,ylz
一路	yilu,yl
一路风尘	yilufengchen,ylfc
一路风清	yilufengqing,ylfq
一路福星	yilufuxing,ylfx
一路货	yiluhuo,ylh
一路货色	yiluhuose,ylhs
一路哭	yiluku,ylk
一路来	yilulai,yll
一路平安	yilupingan,ylpa
一路人	yiluren,ylr
一路上	yilushang,yls
一路神祇	yilushenqi,ylsq
一路顺风	yilushunfeng,ylsf
一缕烟	yiluyan,yly
一律	yilu,yl
一律地	yilude,yld
一脔	yiluan,yl
一乱涂地	yiluantudi,yltd
一略数	yilueshu,yls
一轮	yilun,yl
一箩筐	yiluokuang,ylk
一络索	yiluosuo,yls
一落	yiluo,yl
一落千丈	yiluoqianzhang,ylqz
一落索	yiluosuo,yls
一马不被两鞍	yimabubeiliangan,ymbbla
一马不鞁两鞍	yimabubeiliangan,ymbbla
一马不跨双鞍	yimabukuashuangan,ymbksa
一马当先	yimadangxian,ymdx
一马难将两鞍鞴	yimananjianglianganbei,ymnjlab
一马平川	yimapingchuan,ympc
一马勺坏一锅	yimashaohuaiguo,ymshg
一马一鞍	yimaan,yma
一码事	yimashi,yms
一码新	yimaxin,ymx
一脉	yimai,ym
一脉同气	yimaitongqi,ymtq
一脉相承	yimaixiangcheng,ymxc
一脉相传	yimaixiangchuan,ymxc
一脉相通	yimaixiangtong,ymxt
一脉香烟	yimaixiangyan,ymxy
一满	yiman,ym
一忙地	yimangde,ymd
一毛	yimao,ym
一毛不拔	yimaobuba,ymbb
一茅三脊	yimaosanji,ymsj
一貌	yimao,ym
一眉	yimei,ym
一妹	yimei,ym
一昧里	yimeili,yml
一门	yimen,ym
一门口子	yimenkouzi,ymkz
一门千指	yimenqianzhi,ymqz
一门式	yimenshi,yms
一门同气	yimentongqi,ymtq
一门心思	yimenxinsi,ymxs
一门子	yimenzi,ymz
一梦华胥	yimenghuaxu,ymhx
一迷	yimi,ym
一谜	yimi,ym
一米线	yimixian,ymx
一秘	yimi,ym
一密	yimi,ym
一面	yimian,ym
一面倒	yimiandao,ymd
一面儿理	yimianerli,ymel
一面如旧	yimianrujiu,ymrj
一面之词	yimianzhici,ymzc
一面之辞	yimianzhici,ymzc
一面之交	yimianzhijiao,ymzj
一面之款	yimianzhikuan,ymzk
一面之识	yimianzhishi,ymzs
一面之雅	yimianzhiya,ymzy
一面之缘	yimianzhiyuan,ymzy
一灭行	yimiexing,ymx
一民同俗	yimintongsu,ymts
一抿子	yiminzi,ymz
一名誉地	yimingyude,ymyd
一明了地	yimingliaode,ymld
一鸣惊人	yimingjingren,ymjr
一暝不视	yimingbushi,ymbs
一瞑不视	yimingbushi,ymbs
一命	yiming,ym
一命归天	yimingguitian,ymgt
一命归西	yimingguixi,ymgx
一命归阴	yimingguiyin,ymgy
一命鸣呼	yiminghu,ymh
一命呜呼	yimingwuhu,ymwh
一命之荣	yimingzhirong,ymzr
一摸黑	yimohei,ymh
一模二样	yimoeryang,ymey
一模一样	yimuyang,ymy
一抹	yimo,ym
一抹到底	yimodaodi,ymdd
一抹光	yimoguang,ymg
一抹黑	yimohei,ymh
一抹头	yimotou,ymt
一陌	yimo,ym
一蓦	yimo,ym
一亩宫	yimugong,ymg
一亩三分地	yimusanfendi,ymsfd
一木难支	yimunanzhi,ymnz
一木之枝	yimuzhi,ymz
一目	yimu,ym
一目了然	yimuliaoran,ymlr
一目十行	yimushihang,ymsh
一目数行	yimushuhang,ymsh
一目五行	yimuwuhang,ymwh
一目之士	yimuzhishi,ymzs
一沐三握发	yimusanwofa,ymswf
一沐三捉发	yimusanzhuofa,ymszf
一幕	yimu,ym
一幕幕地	yimude,ymd
一睦	yimu,ym
一暮	yimu,ym
一拏	yina,yn
一拿一个着	yinagezhe,yngz
一纳	yina,yn
一纳头	yinatou,ynt
一衲	yina,yn
一男半女	yinanbannu,ynbn
一脑门子官司	yinaomenziguansi,ynmzgs
一恁	yinen,yn
一能	yineng,yn
一年半	yinianban,ynb
一年半载	yinianbanzai,ynbz
一年被蛇咬	yinianbeisheyao,ynbsy
一年被蛇咬十年怕井绳	yinianbeisheyaoshipajingsheng,ynbsyspjs
一年春尽一年春	yinianchunjin,yncj
一年大	yinianda,ynd
一年到头	yiniandaotou,yndt
一年多	yinianduo,ynd
一年级	yinianji,ynj
一年景	yinianjing,ynj
一年期	yinianqi,ynq
一年三节	yiniansanjie,ynsj
一年三秀	yiniansanxiu,ynsx
一年生	yiniansheng,yns
一年四季	yiniansiji,ynsj
一年一度	yiniandu,ynd
一年之计	yinianzhiji,ynzj
一年之计在于春	yinianzhijizaiyuchun,ynzjzyc
一捻	yinian,yn
一捻红	yinianhong,ynh
一捻捻	yinian,yn
一念	yinian,yn
一念之差	yinianzhicha,ynzc
一念之间	yinianzhijian,ynzj
一念之误	yinianzhiwu,ynzw
一拧身	yiningshen,yns
一牛吼地	yiniuhoudi,ynhd
一牛九锁	yiniujiusuo,ynjs
一牛鸣	yiniuming,ynm
一牛鸣地	yiniumingdi,ynmd
一弄	yinong,yn
一怒之下	yinuzhixia,ynzx
一诺千金	yinuoqianjin,ynqj
一诺无辞	yinuowuci,ynwc
一搦	yinuo,yn
一耦	yiou,yo
一沤	yiou,yo
一拍即合	yipaijihe,ypjh
一拍两散	yipailiangsan,ypls
一排	yipai,yp
一排排地	yipaide,ypd
一派	yipai,yp
一派胡言	yipaihuyan,yphy
一派胡言乱语	yipaihuyanluanyu,yphyly
一派谎言	yipaihuangyan,yphy
一盘棋	yipanqi,ypq
一盘散沙	yipansansha,ypss
一旁	yipang,yp
一抛	yipao,yp
一泡	yipao,yp
一泡子	yipaozi,ypz
一炮打响	yipaodaxiang,ypdx
一炮而红	yipaoerhong,ypeh
一炮台	yipaotai,ypt
一培土	yipeitu,ypt
一辔兜	yipeidou,ypd
一辔头	yipeitou,ypt
一喷一醒	yipenxing,ypx
一棚	yipeng,yp
一蓬烟	yipengyan,ypy
一篷	yipeng,yp
一疲倦地	yipijuande,ypjd
一匹	yipi,yp
一匹雏	yipichu,ypc
一匹锦	yipijin,ypj
一匹马	yipima,ypm
一屁股	yipigu,ypg
一偏	yipian,yp
一偏之见	yipianzhijian,ypzj
一偏之论	yipianzhilun,ypzl
一篇	yipian,yp
一篇文章	yipianwenzhang,ypwz
一片	yipian,yp
一片冰心	yipianbingxin,ypbx
一片丹心	yipiandanxin,ypdx
一片宫商	yipiangongshang,ypgs
一片昏黑	yipianhunhei,yphh
一片混乱	yipianhunluan,yphl
一片焦土	yipianjiaotu,ypjt
一片空白	yipiankongbai,ypkb
一片片地	yipiande,ypd
一片散沙	yipiansansha,ypss
一片石	yipianshi,yps
一片汪洋	yipianwangyang,ypwy
一瓢	yipiao,yp
一票	yipiao,yp
一撇	yipie,yp
一撇子	yipiezi,ypz
一瞥	yipie,yp
一贫如洗	yipinruxi,yprx
一嚬一笑	yipinxiao,ypx
一颦一笑	yipinxiao,ypx
一品	yipin,yp
一品白衫	yipinbaishan,ypbs
一品锅	yipinguo,ypg
一品红	yipinhong,yph
一平	yiping,yp
一萍	yiping,yp
一泼滩	yipotan,ypt
一抔黄沙	yipouhuangsha,yphs
一抔黄土	yipouhuangtu,ypht
一抔土	yipoutu,ypt
一掊土	yipoutu,ypt
一仆二主	yipuerzhu,ypez
一扑	yipu,yp
一扑纳心	yipunaxin,ypnx
一扑心	yipuxin,ypx
一铺	yipu,yp
一铺安心	yipuanxin,ypax
一铺滩	yiputan,ypt
一曝十寒	yipushihan,ypsh
一七	yiqi,yq
一七令	yiqiling,yql
一妻制	yiqizhi,yqz
一栖两雄	yiqiliangxiong,yqlx
一期	yiqi,yq
一齐	yiqi,yq
一齐地	yiqide,yqd
一齐众楚	yiqizhongchu,yqzc
一奇	yiqi,yq
一旗半枪	yiqibanqiang,yqbq
一旗二枪	yiqierqiang,yqeq
一旗一枪	yiqiqiang,yqq
一起	yiqi,yq
一起头	yiqitou,yqt
一起子	yiqizi,yqz
一气	yiqi,yq
一气地	yiqide,yqd
一气呵成	yiqihecheng,yqhc
一气浑成	yiqihuncheng,yqhc
一气一个死	yiqigesi,yqgs
一气之下	yiqizhixia,yqzx
一契	yiqi,yq
一千八百担	yiqianbabaidan,yqbbd
一千零一夜	yiqianlingye,yqly
一牵	yiqian,yq
一谦四益	yiqiansi,yqs
一签儿	yiqianer,yqe
一钱	yiqian,yq
一钱不落虚空地	yiqianbuluoxukongdi,yqblxkd
一钱不名	yiqianbuming,yqbm
一钱不值	yiqianbuzhi,yqbz
一钱汉	yiqianhan,yqh
一钱如命	yiqianruming,yqrm
一钱太守	yiqiantaishou,yqts
一枪命中	yiqiangmingzhong,yqmz
一枪一旗	yiqiangqi,yqq
一腔	yiqiang,yq
一窍不通	yiqiaobutong,yqbt
一窍通百窍通	yiqiaotongbai,yqtb
一切	yiqie,yq
一切地	yiqiede,yqd
一切法	yiqiefa,yqf
一切经	yiqiejing,yqj
一切就绪	yiqiejiuxu,yqjx
一切如旧	yiqierujiu,yqrj
一切事物	yiqieshiwu,yqsw
一切万物	yiqiewanwu,yqww
一切险	yiqiexian,yqx
一切向钱看	yiqiexiangqiankan,yqxqk
一切有情	yiqieyouqing,yqyq
一切智	yiqiezhi,yqz
一切种智	yiqiezhongzhi,yqzz
一切众生	yiqiezhongsheng,yqzs
一切诸佛	yiqiezhufo,yqzf
一亲芳泽	yiqinfangze,yqfz
一芹	yiqin,yq
一琴一鹤	yiqinhe,yqh
一青	yiqing,yq
一清二白	yiqingerbai,yqeb
一清二楚	yiqingerchu,yqec
一清如水	yiqingrushui,yqrs
一清宿弊	yiqingsubi,yqsb
一清早	yiqingzao,yqz
一顷	yiqing,yq
一穷二白	yiqiongerbai,yqeb
一丘貉	yiqiumo,yqm
一丘土	yiqiutu,yqt
一丘一壑	yiqiuhe,yqh
一丘之貉	yiqiuzhihe,yqzh
一邱	yiqiu,yq
一邱之貉	yiqiuzhihe,yqzh
一区	yiqu,yq
一曲	yiqu,yq
一曲阳关	yiquyangguan,yqyg
一屈服地	yiqufude,yqfd
一絇	yiqu,yq
一取	yiqu,yq
一去不复返	yiqubufufan,yqbff
一去不回	yiqubuhui,yqbh
一去无影踪	yiquwuyingzong,yqwyz
一拳	yiquan,yq
一拳碎黄鹤	yiquansuihuanghe,yqshh
一拳头砸出一眼井	yiquantouzachuyanjing,yqtzcyj
一拳柱定	yiquanzhuding,yqzd
一犬吠形	yiquanfeixing,yqfx
一犬吠影	yiquanfeiying,yqfy
一瘸一拐	yiqueguai,yqg
一阕	yique,yq
一群	yiqun,yq
一人	yiren,yr
一人班	yirenban,yrb
一人半	yirenban,yrb
一人传虚	yirenchuanxu,yrcx
一人得道	yirendedao,yrdd
一人敌	yirendi,yrd
一人飞升	yirenfeisheng,yrfs
一人泉	yirenquan,yrq
一人善射	yirenshanshe,yrss
一人向隅	yirenxiangyu,yrxy
一人永占	yirenyongzhan,yryz
一人有庆	yirenyouqing,yryq
一人之交	yirenzhijiao,yrzj
一人之下	yirenzhixia,yrzx
一人之心	yirenzhixin,yrzx
一人作	yirenzuo,yrz
一人作事一人当	yirenzuoshidang,yrzsd
一人作罪一人当	yirenzuozuidang,yrzzd
一人做事一人当	yirenzuoshidang,yrzsd
一稔	yiren,yr
一任	yiren,yr
一仍	yireng,yr
一仍旧贯	yirengjiuguan,yrjg
一日	yiri,yr
一日必葺	yiribiqi,yrbq
一日不害羞	yiribuhaixiu,yrbhx
一日不稼	yiribujia,yrbj
一日不见	yiribujian,yrbj
一日不如一日	yiriburu,yrbr
一日不识羞	yiribushixiu,yrbsx
一日不食	yiribushi,yrbs
一日不作	yiribuzuo,yrbz
一日欢	yirihuan,yrh
一日九迁	yirijiuqian,yrjq
一日两	yiriliang,yrl
一日千里	yiriqianli,yrql
一日千丈	yiriqianzhang,yrqz
一日三	yirisan,yrs
一日三餐	yirisancan,yrsc
一日三复	yirisanfu,yrsf
一日三覆	yirisanfu,yrsf
一日三秋	yirisanqiu,yrsq
一日三省	yirisanxing,yrsx
一日三岁	yirisansui,yrss
一日三月	yirisanyue,yrsy
一日身死	yirishensi,yrss
一日万机	yiriwanji,yrwj
一日万几	yiriwanji,yrwj
一日万里	yiriwanli,yrwl
一日为师	yiriweishi,yrws
一日一夕	yirixi,yrx
一日一夜	yiriye,yry
一日之计在于晨	yirizhijizaiyuchen,yrzjzyc
一日之雅	yirizhiya,yrzy
一日之长	yirizhichang,yrzc
一日纵敌	yirizongdi,yrzd
一戎	yirong,yr
一戎衣	yirong,yr
一肉	yirou,yr
一肉之味	yirouzhiwei,yrzw
一如	yiru,yr
一如既往	yirujiwang,yrjw
一如所料	yirusuoliao,yrsl
一如往常	yiruwangchang,yrwc
一若	yiruo,yr
一撒	yisa,ys
一撒花	yisahua,ysh
一撒手儿	yisashouer,ysse
一扫而光	yisaoerguang,yseg
一扫而空	yisaoerkong,ysek
一色	yise,ys
一色服	yisefu,ysf
一色衣	yise,ys
一刹	yisha,ys
一刹那	yichana,ycn
一刹那顷	yichanaqing,ycnq
一霎	yisha,ys
一霎间	yishajian,ysj
一霎那	yishana,ysn
一霎时	yishashi,yss
一霎眼	yishayan,ysy
一山不藏二虎	yishanbucangerhu,ysbceh
一山不容二虎	yishanburongerhu,ysbreh
一闪而过	yishanerguo,yseg
一闪明	yishanming,ysm
一闪念	yishannian,ysn
一闪眼	yishanyan,ysy
一扇风	yishanfeng,ysf
一善	yishan,ys
一觞一咏	yishangyong,ysy
一晌	yishang,ys
一上	yishang,ys
一上青山便化身	yishangqingshanbianhuashen,ysqsbhs
一上手	yishangshou,yss
一梢	yishao,ys
一勺烩	yishaohui,ysh
一蛇两头	yisheliangtou,yslt
一舍	yishe,ys
一射	yishe,ys
一射之地	yishezhidi,yszd
一身	yishen,ys
一身都是胆	yishendoushidan,ysdsd
一身而二任	yishenerren,yser
一身二任	yishenerren,yser
一身汗	yishenhan,ysh
一身两头	yishenliangtou,yslt
一身两役	yishenliang,ysl
一身是胆	yishenshidan,yssd
一身五心	yishenwuxin,yswx
一身做事一身当	yishenzuoshidang,yszsd
一神教	yishenjiao,ysj
一神论	yishenlun,ysl
一审	yishen,ys
一生	yisheng,ys
一生吃着不尽	yishengchizhuobujin,ysczbj
一生九死	yishengjiusi,ysjs
一生人	yishengren,ysr
一生世	yishengshi,yss
一生死	yishengsi,yss
一生一代	yishengdai,ysd
一生一世	yishengshi,yss
一声	yisheng,ys
一声不吭	yishengbukeng,ysbk
一声不吭地溜走	yishengbukengdeliuzou,ysbkdlz
一声不响	yishengbuxiang,ysbx
一绳	yisheng,ys
一眚	yisheng,ys
一盛	yisheng,ys
一失足成千古恨	yishizuchengqianguhen,yszcqgh
一十八般兵器	yishibabanbingqi,ysbbbq
一十八般武艺	yishibabanwu,ysbbw
一十八层地狱	yishibacengdiyu,ysbcdy
一石二鸟	yishierniao,ysen
一石几钟	yishijizhong,ysjz
一时	yishi,ys
一时半会	yishibanhui,ysbh
一时半会儿	yishibanhuier,ysbhe
一时半刻	yishibanke,ysbk
一时半霎	yishibansha,ysbs
一时半晌	yishibanshang,ysbs
一时伯仲	yishibozhong,ysbz
一时得逞	yishidecheng,ysdc
一时地	yishide,ysd
一时俸	yishifeng,ysf
一时横流	yishihengliu,yshl
一时间	yishijian,ysj
一时千载	yishiqianzai,ysqz
一时权宜	yishiquan,ysq
一时三刻	yishisanke,yssk
一时疏忽	yishishuhu,yssh
一时一刻	yishike,ysk
一时瑜亮	yishiyuliang,ysyl
一时之权	yishizhiquan,yszq
一时之秀	yishizhixiu,yszx
一时之选	yishizhixuan,yszx
一矢地	yishidi,ysd
一矢双穿	yishishuangchuan,yssc
一矢中的	yishizhongdi,yszd
一世	yishi,ys
一世界	yishijie,ysj
一世龙门	yishilongmen,yslm
一世异朝市	yishichao,ysc
一世之雄	yishizhixiong,yszx
一式	yishi,ys
一式二份	yishierfen,ysef
一式一样	yishiyang,ysy
一事	yishi,ys
一事不知	yishibuzhi,ysbz
一事无成	yishiwucheng,yswc
一事中	yishizhong,ysz
一势	yishi,ys
一视	yishi,ys
一视同仁	yishitongren,ystr
一视同仁地对待	yishitongrendeduidai,ystrddd
一室生春	yishishengchun,yssc
一是	yishi,ys
一是一	yishi,ys
一适	yishi,ys
一匙	yichi,yc
一手	yishou,ys
一手把	yishouba,ysb
一手包办	yishoubaoban,ysbb
一手独拍	yishoudupai,ysdp
一手交货	yishoujiaohuo,ysjh
一手交钱	yishoujiaoqian,ysjq
一手托两家	yishoutuoliangjia,ystlj
一手托天	yishoutuotian,ystt
一手一脚	yishoujiao,ysj
一手一足	yishouzu,ysz
一手遮天	yishouzhetian,yszt
一寿	yishou,ys
一熟悉地	yishuxide,ysxd
一熟制	yishuzhi,ysz
一属	yishu,ys
一曙	yishu,ys
一束	yishu,ys
一树百获	yishubaihuo,ysbh
一刷	yishua,ys
一双	yishuang,ys
一双两好	yishuanglianghao,yslh
一水儿	yishuier,yse
一水两水	yishuiliang,ysl
一顺	yishun,ys
一顺儿	yishuner,yse
一顺水	yishunshui,yss
一瞬	yishun,ys
一瞬间	yishunjian,ysj
一说	yishuo,ys
一丝	yisi,ys
一丝半粟	yisibansu,ysbs
一丝不差	yisibucha,ysbc
一丝不苟	yisibugou,ysbg
一丝不挂	yisibugua,ysbg
一丝不紊	yisibuwen,ysbw
一丝两气	yisiliangqi,yslq
一丝一毫	yisihao,ysh
一死的	yiside,ysd
一死儿	yisier,yse
一死了之	yisiliaozhi,yslz
一死生	yisisheng,yss
一死一生	yisisheng,yss
一似	yisi,ys
一嗣	yisi,ys
一艘船	yisouchuan,ysc
一宿	yixiu,yx
一宿觉	yixiujue,yxj
一宿之行	yixiuzhixing,yxzx
一粟	yisu,ys
一算	yisuan,ys
一岁九迁	yisuijiuqian,ysjq
一岁三迁	yisuisanqian,yssq
一岁使长百岁奴	yisuishichangbainu,ysscbn
一岁再赦	yisuizaishe,yszs
一岁载赦	yisuizaishe,yszs
一索	yisuo,ys
一索成男	yisuochengnan,yscn
一索得男	yisuodenan,ysdn
一索珠	yisuozhu,ysz
一塌儿	yitaer,yte
一塌刮子	yitaguazi,ytgz
一塌胡涂	yitahutu,ytht
一塌糊涂	yitahutu,ytht
一塌括子	yitakuozi,ytkz
一塌括仔	yitakuozai,ytkz
一拓	yituo,yt
一榻横陈	yitahengchen,ythc
一榻胡涂	yitahutu,ytht
一榻括子	yitakuozi,ytkz
一踏脚儿	yitajueer,ytje
一胎化	yitaihua,yth
一胎制	yitaizhi,ytz
一台二绝	yitaierjue,ytej
一台二妙	yitaiermiao,ytem
一谈	yitan,yt
一潭死水	yitansishui,ytss
一探究竟	yitanjiujing,ytjj
一趟平	yitangping,ytp
一陶	yitao,yt
一淘	yitao,yt
一套	yitao,yt
一套手	yitaoshou,yts
一体	yiti,yt
一体化	yitihua,yth
一体两面	yitiliangmian,ytlm
一体同心	yititongxin,yttx
一替	yiti,yt
一天	yitian,yt
一天到晚	yitiandaowan,ytdw
一天星斗	yitianxingdou,ytxd
一天一地	yitiandi,ytd
一天一个样	yitiangeyang,ytgy
一条	yitiao,yt
一条边	yitiaobian,ytb
一条鞭	yitiaobian,ytb
一条扁担两头挑	yitiaobiandanliangtou,ytbdlt
一条氷	yitiaobing,ytb
一条道走到黑	yitiaodaozouhei,ytdzh
一条龙	yitiaolong,ytl
一条龙服务	yitiaolongfuwu,ytlfw
一条路走到黑	yitiaoluzoudaohei,ytlzdh
一条枪	yitiaoqiang,ytq
一条绳上的蚂蚱	yitiaoshengshangdemazha,ytssdmz
一条藤儿	yitiaotenger,ytte
一条腿	yitiaotui,ytt
一条线儿拴俩蚂蚱	yitiaoxianershuanliamazha,ytxeslmz
一条心	yitiaoxin,ytx
一跳八丈	yitiaobazhang,ytbz
一帖	yitie,yt
一听	yiting,yt
一停	yiting,yt
一挺	yiting,yt
一通	yitong,yt
一通百通	yitongbai,ytb
一通儿	yitonger,yte
一通连	yitonglian,ytl
一同	yitong,yt
一统	yitong,yt
一统天下	yitongtianxia,yttx
一头	yitou,yt
一头地	yitoudi,ytd
一头儿沉	yitouerchen,ytec
一头热	yitoure,ytr
一头水	yitoushui,yts
一头雾水	yitouwushui,ytws
一头栽进	yitouzaijin,ytzj
一投	yitou,yt
一透都透	yitoudou,ytd
一吐	yitu,yt
一吐为快	yituweikuai,ytwk
一团	yituan,yt
一团和气	yituanheqi,ythq
一团火	yituanhuo,yth
一团娇	yituanjiao,ytj
一团乱糟	yituanluanzao,ytlz
一团漆黑	yituanqihei,ytqh
一团糟	yituanzao,ytz
一推两搡	yituiliangsang,ytls
一推六二五	yituiliuerwu,ytlew
一退六二五	yituiliuerwu,ytlew
一屯	yitun,yt
一托气	yituoqi,ytq
一托头	yituotou,ytt
一脱气	yituoqi,ytq
一驮	yiduo,yd
一驮粮	yiduoliang,ydl
一坨	yituo,yt
一庹	yituo,yt
一唾	yituo,yt
一哇声	yiwasheng,yws
一湾	yiwan,yw
一湾子	yiwanzi,ywz
一丸泥	yiwanni,ywn
一丸五色	yiwanwuse,ywws
一宛	yiwan,yw
一碗水端平	yiwanshuiduanping,ywsdp
一万次地	yiwancide,ywcd
一万日	yiwanri,ywr
一王	yiwang,yw
一王法	yiwangfa,ywf
一网打尽	yiwangdajin,ywdj
一网尽扫	yiwangjinsao,ywjs
一往	yiwang,yw
一往而深	yiwangershen,ywes
一往情深	yiwangqingshen,ywqs
一往无前	yiwangwuqian,ywwq
一往直前	yiwangzhiqian,ywzq
一望	yiwang,yw
一望而知	yiwangerzhi,ywez
一望无边	yiwangwubian,ywwb
一望无际	yiwangwuji,ywwj
一望无涯	yiwangwuya,ywwy
一望无垠	yiwangwuyin,ywwy
一微尘	yiweichen,ywc
一唯	yiwei,yw
一维	yiwei,yw
一苇	yiwei,yw
一苇可航	yiweikehang,ywkh
一为地	yiweide,ywd
一味	yiwei,yw
一味禅	yiweichan,ywc
一味地	yiweide,ywd
一味地强调	yiweideqiangdiao,ywdqd
一文	yiwen,yw
一文半文	yiwenban,ywb
一文不名	yiwenbuming,ywbm
一文不值	yiwenbuzhi,ywbz
一文钱	yiwenqian,ywq
